y,U_x,U_y,U_z,k
0.0570114,1.08838,-1.4244e-08,0,0.00153011
0.0572114,1.08838,-1.42695e-08,0,0.00153024
0.0574115,1.08837,-1.4295e-08,0,0.00153037
0.0576115,1.08837,-1.43206e-08,0,0.0015305
0.0578116,1.08837,-1.43461e-08,0,0.00153063
0.0580116,1.08836,-1.43717e-08,0,0.00153075
0.0582116,1.08836,-1.43972e-08,0,0.00153088
0.0584117,1.08835,-1.44228e-08,0,0.00153101
0.0586117,1.08835,-1.44483e-08,0,0.00153114
0.0588118,1.08835,-1.44739e-08,0,0.00153127
0.0590118,1.08834,-1.44994e-08,0,0.0015314
0.0592118,1.08834,-1.4525e-08,0,0.00153152
0.0594119,1.08833,-1.45505e-08,0,0.00153165
0.0596119,1.08833,-1.45761e-08,0,0.00153178
0.059812,1.08833,-1.46016e-08,0,0.00153191
0.060012,1.08832,-1.46272e-08,0,0.00153204
0.060212,1.08832,-1.46527e-08,0,0.00153217
0.0604121,1.08831,-1.46783e-08,0,0.00153229
0.0606121,1.08831,-1.47038e-08,0,0.00153242
0.0608122,1.08831,-1.47294e-08,0,0.00153255
0.0610122,1.0883,-1.47549e-08,0,0.00153268
0.0612122,1.0883,-1.47805e-08,0,0.00153281
0.0614123,1.0883,-1.4806e-08,0,0.00153294
0.0616123,1.08829,-1.48315e-08,0,0.00153306
0.0618124,1.08829,-1.48571e-08,0,0.00153319
0.0620124,1.08828,-1.48934e-08,0,0.00153334
0.0622124,1.08828,-1.49537e-08,0,0.00153353
0.0624125,1.08827,-1.5014e-08,0,0.00153372
0.0626125,1.08827,-1.50743e-08,0,0.00153391
0.0628126,1.08826,-1.51346e-08,0,0.0015341
0.0630126,1.08825,-1.51949e-08,0,0.0015343
0.0632126,1.08825,-1.52552e-08,0,0.00153449
0.0634127,1.08824,-1.53155e-08,0,0.00153468
0.0636127,1.08824,-1.53758e-08,0,0.00153487
0.0638128,1.08823,-1.54361e-08,0,0.00153506
0.0640128,1.08822,-1.54964e-08,0,0.00153525
0.0642128,1.08822,-1.55567e-08,0,0.00153544
0.0644129,1.08821,-1.5617e-08,0,0.00153563
0.0646129,1.08821,-1.56773e-08,0,0.00153583
0.064813,1.0882,-1.57376e-08,0,0.00153602
0.065013,1.0882,-1.57979e-08,0,0.00153621
0.065213,1.08819,-1.58582e-08,0,0.0015364
0.0654131,1.08818,-1.59185e-08,0,0.00153659
0.0656131,1.08818,-1.59788e-08,0,0.00153678
0.0658132,1.08817,-1.60391e-08,0,0.00153697
0.0660132,1.08817,-1.60994e-08,0,0.00153717
0.0662132,1.08816,-1.61597e-08,0,0.00153736
0.0664133,1.08815,-1.622e-08,0,0.00153755
0.0666133,1.08815,-1.62804e-08,0,0.00153774
0.0668134,1.08814,-1.63407e-08,0,0.00153793
0.0670134,1.08814,-1.6401e-08,0,0.00153812
0.0672134,1.08813,-1.64613e-08,0,0.00153831
0.0674135,1.08812,-1.65216e-08,0,0.0015385
0.0676135,1.08812,-1.65819e-08,0,0.0015387
0.0678136,1.08811,-1.66422e-08,0,0.00153889
0.0680136,1.08811,-1.67025e-08,0,0.00153908
0.0682136,1.0881,-1.67628e-08,0,0.00153927
0.0684137,1.0881,-1.68231e-08,0,0.00153946
0.0686137,1.08809,-1.68834e-08,0,0.00153965
0.0688138,1.08808,-1.69437e-08,0,0.00153984
0.0690138,1.08808,-1.7004e-08,0,0.00154003
0.0692138,1.08807,-1.70643e-08,0,0.00154023
0.0694139,1.08807,-1.71246e-08,0,0.00154042
0.0696139,1.08806,-1.71849e-08,0,0.00154061
0.069814,1.08805,-1.72452e-08,0,0.0015408
0.070014,1.08805,-1.73055e-08,0,0.00154099
0.070214,1.08804,-1.73658e-08,0,0.00154118
0.0704141,1.08804,-1.74261e-08,0,0.00154137
0.0706141,1.08803,-1.74864e-08,0,0.00154156
0.0708142,1.08803,-1.75467e-08,0,0.00154176
0.0710142,1.08802,-1.7607e-08,0,0.00154195
0.0712142,1.08801,-1.76673e-08,0,0.00154214
0.0714143,1.08801,-1.77276e-08,0,0.00154233
0.0716143,1.088,-1.77879e-08,0,0.00154252
0.0718144,1.088,-1.78482e-08,0,0.00154271
0.0720144,1.08799,-1.79085e-08,0,0.0015429
0.0722144,1.08798,-1.79688e-08,0,0.0015431
0.0724145,1.08798,-1.80292e-08,0,0.00154329
0.0726145,1.08797,-1.80895e-08,0,0.00154348
0.0728146,1.08797,-1.81498e-08,0,0.00154367
0.0730146,1.08796,-1.82101e-08,0,0.00154386
0.0732146,1.08796,-1.82704e-08,0,0.00154405
0.0734147,1.08795,-1.83307e-08,0,0.00154424
0.0736147,1.08794,-1.8391e-08,0,0.00154443
0.0738148,1.08794,-1.84513e-08,0,0.00154463
0.0740148,1.08793,-1.85116e-08,0,0.00154482
0.0742148,1.08793,-1.85719e-08,0,0.00154501
0.0744149,1.08792,-1.86322e-08,0,0.0015452
0.0746149,1.08791,-1.86925e-08,0,0.00154539
0.074815,1.08791,-1.87528e-08,0,0.00154558
0.075015,1.0879,-1.88131e-08,0,0.00154577
0.075215,1.0879,-1.88734e-08,0,0.00154596
0.0754151,1.08789,-1.89337e-08,0,0.00154616
0.0756151,1.08788,-1.8994e-08,0,0.00154635
0.0758152,1.08788,-1.90543e-08,0,0.00154654
0.0760152,1.08787,-1.91146e-08,0,0.00154673
0.0762152,1.08787,-1.91749e-08,0,0.00154692
0.0764153,1.08786,-1.92352e-08,0,0.00154711
0.0766153,1.08786,-1.92955e-08,0,0.0015473
0.0768154,1.08785,-1.93558e-08,0,0.0015475
0.0770154,1.08784,-1.94161e-08,0,0.00154769
0.0772154,1.08784,-1.94764e-08,0,0.00154788
0.0774155,1.08783,-1.95367e-08,0,0.00154807
0.0776155,1.08783,-1.9597e-08,0,0.00154826
0.0778156,1.08782,-1.96573e-08,0,0.00154845
0.0780156,1.08781,-1.97176e-08,0,0.00154864
0.0782156,1.08781,-1.97779e-08,0,0.00154883
0.0784157,1.0878,-1.98383e-08,0,0.00154903
0.0786157,1.0878,-1.98986e-08,0,0.00154922
0.0788158,1.08779,-1.99589e-08,0,0.00154941
0.0790158,1.08779,-2.00192e-08,0,0.0015496
0.0792158,1.08778,-2.00795e-08,0,0.00154979
0.0794159,1.08777,-2.01398e-08,0,0.00154998
0.0796159,1.08777,-2.02001e-08,0,0.00155017
0.079816,1.08776,-2.02604e-08,0,0.00155036
0.080016,1.08776,-2.03207e-08,0,0.00155056
0.080216,1.08775,-2.0381e-08,0,0.00155075
0.0804161,1.08774,-2.04413e-08,0,0.00155094
0.0806161,1.08774,-2.05016e-08,0,0.00155113
0.0808162,1.08773,-2.05619e-08,0,0.00155132
0.0810162,1.08773,-2.06222e-08,0,0.00155151
0.0812162,1.08772,-2.06825e-08,0,0.0015517
0.0814163,1.08772,-2.07428e-08,0,0.00155189
0.0816163,1.08771,-2.08031e-08,0,0.00155209
0.0818164,1.0877,-2.08634e-08,0,0.00155228
0.0820164,1.0877,-2.09237e-08,0,0.00155247
0.0822164,1.08769,-2.0984e-08,0,0.00155266
0.0824165,1.08769,-2.10443e-08,0,0.00155285
0.0826165,1.08768,-2.11046e-08,0,0.00155304
0.0828166,1.08767,-2.11649e-08,0,0.00155323
0.0830166,1.08767,-2.12252e-08,0,0.00155343
0.0832166,1.08766,-2.12855e-08,0,0.00155362
0.0834167,1.08766,-2.13458e-08,0,0.00155381
0.0836167,1.08765,-2.14061e-08,0,0.001554
0.0838168,1.08764,-2.14664e-08,0,0.00155419
0.0840168,1.08764,-2.15267e-08,0,0.00155438
0.0842168,1.08763,-2.1587e-08,0,0.00155457
0.0844169,1.08763,-2.16474e-08,0,0.00155476
0.0846169,1.08762,-2.17077e-08,0,0.00155496
0.084817,1.08762,-2.1768e-08,0,0.00155515
0.085017,1.08761,-2.18283e-08,0,0.00155534
0.085217,1.0876,-2.18886e-08,0,0.00155553
0.0854171,1.0876,-2.19489e-08,0,0.00155572
0.0856171,1.08759,-2.20092e-08,0,0.00155591
0.0858172,1.08759,-2.20695e-08,0,0.0015561
0.0860172,1.08758,-2.21298e-08,0,0.00155629
0.0862172,1.08757,-2.21901e-08,0,0.00155649
0.0864173,1.08757,-2.22504e-08,0,0.00155668
0.0866173,1.08756,-2.23107e-08,0,0.00155687
0.0868174,1.08756,-2.23671e-08,-6.69679e-29,0.00155708
0.0870174,1.08755,-2.24185e-08,-2.21828e-28,0.00155732
0.0872174,1.08754,-2.24698e-08,-3.76687e-28,0.00155756
0.0874175,1.08753,-2.25211e-08,-5.31547e-28,0.0015578
0.0876175,1.08753,-2.25725e-08,-6.86406e-28,0.00155804
0.0878176,1.08752,-2.26238e-08,-8.41266e-28,0.00155829
0.0880176,1.08751,-2.26751e-08,-9.96126e-28,0.00155853
0.0882176,1.0875,-2.27265e-08,-1.15099e-27,0.00155877
0.0884177,1.0875,-2.27778e-08,-1.30584e-27,0.00155901
0.0886177,1.08749,-2.28292e-08,-1.4607e-27,0.00155925
