distance,x,y,z,U_x,U_y,U_z,k,omega
0.74175,2.5,0.49175,5.11743e-17,0.92295,-0.026747,5.75184e-22,6.06806e-05,0.222493
0.7425,2.5,0.4925,4.94396e-17,0.923038,-0.0267405,7.00836e-22,5.93118e-05,0.221378
0.74325,2.5,0.49325,5.11743e-17,0.923126,-0.026734,8.26489e-22,5.79429e-05,0.220263
0.744,2.5,0.494,4.94396e-17,0.923214,-0.0267275,9.52141e-22,5.65741e-05,0.219149
0.74475,2.5,0.49475,4.85723e-17,0.923301,-0.026721,1.07779e-21,5.52052e-05,0.218034
0.7455,2.5,0.4955,4.85723e-17,0.923389,-0.0267145,1.20345e-21,5.38364e-05,0.216919
0.74625,2.5,0.49625,4.68375e-17,0.923477,-0.026708,1.3291e-21,5.24675e-05,0.215804
0.747,2.5,0.497,4.68375e-17,0.923564,-0.0267015,1.45475e-21,5.10987e-05,0.214689
0.74775,2.5,0.49775,4.51028e-17,0.923652,-0.026695,1.5804e-21,4.97298e-05,0.213574
0.7485,2.5,0.4985,4.68375e-17,0.92374,-0.0266884,1.70606e-21,4.8361e-05,0.21246
0.74925,2.5,0.49925,4.51028e-17,0.923828,-0.0266819,1.83171e-21,4.69921e-05,0.211345
0.75,2.5,0.5,4.33681e-17,0.923915,-0.0266754,1.95736e-21,4.56233e-05,0.21023
